Ficheiro gerado automaticamente: questões de Mecânica das Rochas para Anki (Frente<TAB>Verso)
O que é Mecânica das Rochas?	Estudo teórico e prático das propriedades das rochas e suas respostas (deformações) a perturbações.
Calcule I/L e S/I para L=4.3 mm, I=3.32 mm, S=2.81 mm.	I/L = 3.32/4.3 = 0.77; S/I = 2.81/3.32 = 0.85. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.65 mm, I=1.12 mm, S=0.89 mm.	I/L = 1.12/1.65 = 0.68; S/I = 0.89/1.12 = 0.79. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.67 mm, I=2.15 mm, S=1.48 mm.	I/L = 2.15/2.67 = 0.81; S/I = 1.48/2.15 = 0.69. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.75 mm, I=2.81 mm, S=2.31 mm.	I/L = 2.81/3.75 = 0.75; S/I = 2.31/2.81 = 0.82. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.79 mm, I=2.36 mm, S=1.38 mm.	I/L = 2.36/2.79 = 0.85; S/I = 1.38/2.36 = 0.58. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.41 mm, I=1.55 mm, S=0.85 mm.	I/L = 1.55/2.41 = 0.64; S/I = 0.85/1.55 = 0.55. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.77 mm, I=1.39 mm, S=1.16 mm.	I/L = 1.39/1.77 = 0.79; S/I = 1.16/1.39 = 0.83. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.09 mm, I=1.41 mm, S=0.98 mm.	I/L = 1.41/2.09 = 0.67; S/I = 0.98/1.41 = 0.70. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.68 mm, I=4.41 mm, S=3.14 mm.	I/L = 4.41/4.68 = 0.94; S/I = 3.14/4.41 = 0.71. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.56 mm, I=1.63 mm, S=0.89 mm.	I/L = 1.63/2.56 = 0.64; S/I = 0.89/1.63 = 0.55. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.29 mm, I=1.52 mm, S=0.69 mm.	I/L = 1.52/2.29 = 0.66; S/I = 0.69/1.52 = 0.45. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.76 mm, I=2.62 mm, S=2.46 mm.	I/L = 2.62/3.76 = 0.70; S/I = 2.46/2.62 = 0.94. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.86 mm, I=3.26 mm, S=1.67 mm.	I/L = 3.26/3.86 = 0.84; S/I = 1.67/3.26 = 0.51. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.37 mm, I=4.14 mm, S=3.67 mm.	I/L = 4.14/5.37 = 0.77; S/I = 3.67/4.14 = 0.89. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.96 mm, I=3.03 mm, S=2.03 mm.	I/L = 3.03/3.96 = 0.77; S/I = 2.03/3.03 = 0.67. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.08 mm, I=1.29 mm, S=1.19 mm.	I/L = 1.29/2.08 = 0.62; S/I = 1.19/1.29 = 0.92. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.49 mm, I=3.1 mm, S=2.02 mm.	I/L = 3.1/3.49 = 0.89; S/I = 2.02/3.1 = 0.65. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.56 mm, I=1.28 mm, S=0.61 mm.	I/L = 1.28/1.56 = 0.82; S/I = 0.61/1.28 = 0.48. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.92 mm, I=1.53 mm, S=0.92 mm.	I/L = 1.53/1.92 = 0.80; S/I = 0.92/1.53 = 0.60. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.97 mm, I=3.83 mm, S=3.19 mm.	I/L = 3.83/5.97 = 0.64; S/I = 3.19/3.83 = 0.83. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.11 mm, I=3.6 mm, S=2.03 mm.	I/L = 3.6/4.11 = 0.88; S/I = 2.03/3.6 = 0.56. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.71 mm, I=2.81 mm, S=1.89 mm.	I/L = 2.81/3.71 = 0.76; S/I = 1.89/2.81 = 0.67. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.33 mm, I=5.04 mm, S=3.04 mm.	I/L = 5.04/5.33 = 0.95; S/I = 3.04/5.04 = 0.60. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.18 mm, I=3.4 mm, S=2.79 mm.	I/L = 3.4/4.18 = 0.81; S/I = 2.79/3.4 = 0.82. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.75 mm, I=3.87 mm, S=2.15 mm.	I/L = 3.87/5.75 = 0.67; S/I = 2.15/3.87 = 0.56. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.37 mm, I=2.86 mm, S=1.54 mm.	I/L = 2.86/4.37 = 0.65; S/I = 1.54/2.86 = 0.54. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.56 mm, I=0.94 mm, S=0.63 mm.	I/L = 0.94/1.56 = 0.60; S/I = 0.63/0.94 = 0.67. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.05 mm, I=2.84 mm, S=1.61 mm.	I/L = 2.84/4.05 = 0.70; S/I = 1.61/2.84 = 0.57. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.59 mm, I=3.88 mm, S=2.63 mm.	I/L = 3.88/4.59 = 0.85; S/I = 2.63/3.88 = 0.68. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.5 mm, I=4.16 mm, S=3.51 mm.	I/L = 4.16/4.5 = 0.92; S/I = 3.51/4.16 = 0.84. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.2 mm, I=3.49 mm, S=3.2 mm.	I/L = 3.49/4.2 = 0.83; S/I = 3.2/3.49 = 0.92. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.24 mm, I=2.56 mm, S=1.98 mm.	I/L = 2.56/3.24 = 0.79; S/I = 1.98/2.56 = 0.77. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.56 mm, I=4.94 mm, S=2.4 mm.	I/L = 4.94/5.56 = 0.89; S/I = 2.4/4.94 = 0.49. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.0 mm, I=1.42 mm, S=1.17 mm.	I/L = 1.42/2.0 = 0.71; S/I = 1.17/1.42 = 0.82. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.93 mm, I=2.75 mm, S=1.41 mm.	I/L = 2.75/3.93 = 0.70; S/I = 1.41/2.75 = 0.51. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.51 mm, I=3.81 mm, S=3.51 mm.	I/L = 3.81/4.51 = 0.84; S/I = 3.51/3.81 = 0.92. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.6 mm, I=2.78 mm, S=1.36 mm.	I/L = 2.78/3.6 = 0.77; S/I = 1.36/2.78 = 0.49. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.39 mm, I=1.04 mm, S=0.64 mm.	I/L = 1.04/1.39 = 0.75; S/I = 0.64/1.04 = 0.62. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.4 mm, I=1.52 mm, S=1.42 mm.	I/L = 1.52/2.4 = 0.63; S/I = 1.42/1.52 = 0.93. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.21 mm, I=4.17 mm, S=3.86 mm.	I/L = 4.17/5.21 = 0.80; S/I = 3.86/4.17 = 0.93. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=6.0 mm, I=5.01 mm, S=2.93 mm.	I/L = 5.01/6.0 = 0.83; S/I = 2.93/5.01 = 0.58. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.39 mm, I=1.2 mm, S=0.82 mm.	I/L = 1.2/1.39 = 0.86; S/I = 0.82/1.2 = 0.68. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.33 mm, I=3.99 mm, S=2.16 mm.	I/L = 3.99/4.33 = 0.92; S/I = 2.16/3.99 = 0.54. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.01 mm, I=3.3 mm, S=2.3 mm.	I/L = 3.3/4.01 = 0.82; S/I = 2.3/3.3 = 0.70. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.64 mm, I=1.18 mm, S=0.73 mm.	I/L = 1.18/1.64 = 0.72; S/I = 0.73/1.18 = 0.62. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.42 mm, I=3.98 mm, S=2.45 mm.	I/L = 3.98/4.42 = 0.90; S/I = 2.45/3.98 = 0.62. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.53 mm, I=3.17 mm, S=2.92 mm.	I/L = 3.17/4.53 = 0.70; S/I = 2.92/3.17 = 0.92. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.11 mm, I=4.05 mm, S=2.74 mm.	I/L = 4.05/5.11 = 0.79; S/I = 2.74/4.05 = 0.68. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.71 mm, I=1.93 mm, S=1.8 mm.	I/L = 1.93/2.71 = 0.71; S/I = 1.8/1.93 = 0.93. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.14 mm, I=2.45 mm, S=2.31 mm.	I/L = 2.45/3.14 = 0.78; S/I = 2.31/2.45 = 0.94. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.36 mm, I=3.44 mm, S=2.26 mm.	I/L = 3.44/4.36 = 0.79; S/I = 2.26/3.44 = 0.66. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.1 mm, I=1.53 mm, S=1.27 mm.	I/L = 1.53/2.1 = 0.73; S/I = 1.27/1.53 = 0.83. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.2 mm, I=3.64 mm, S=2.01 mm.	I/L = 3.64/4.2 = 0.87; S/I = 2.01/3.64 = 0.55. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.84 mm, I=3.55 mm, S=2.38 mm.	I/L = 3.55/3.84 = 0.92; S/I = 2.38/3.55 = 0.67. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.55 mm, I=2.92 mm, S=2.73 mm.	I/L = 2.92/4.55 = 0.64; S/I = 2.73/2.92 = 0.93. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.12 mm, I=2.82 mm, S=1.49 mm.	I/L = 2.82/4.12 = 0.68; S/I = 1.49/2.82 = 0.53. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.84 mm, I=3.05 mm, S=1.51 mm.	I/L = 3.05/3.84 = 0.79; S/I = 1.51/3.05 = 0.50. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.96 mm, I=5.48 mm, S=3.73 mm.	I/L = 5.48/5.96 = 0.92; S/I = 3.73/5.48 = 0.68. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=1.76 mm, I=1.57 mm, S=1.1 mm.	I/L = 1.57/1.76 = 0.89; S/I = 1.1/1.57 = 0.70. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.64 mm, I=3.61 mm, S=2.12 mm.	I/L = 3.61/4.64 = 0.78; S/I = 2.12/3.61 = 0.59. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.21 mm, I=4.91 mm, S=2.81 mm.	I/L = 4.91/5.21 = 0.94; S/I = 2.81/4.91 = 0.57. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.85 mm, I=2.83 mm, S=2.58 mm.	I/L = 2.83/3.85 = 0.74; S/I = 2.58/2.83 = 0.91. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.64 mm, I=3.3 mm, S=2.91 mm.	I/L = 3.3/3.64 = 0.91; S/I = 2.91/3.3 = 0.88. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.53 mm, I=2.22 mm, S=1.46 mm.	I/L = 2.22/2.53 = 0.88; S/I = 1.46/2.22 = 0.66. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.68 mm, I=4.42 mm, S=3.8 mm.	I/L = 4.42/5.68 = 0.78; S/I = 3.8/4.42 = 0.86. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.56 mm, I=1.8 mm, S=1.34 mm.	I/L = 1.8/2.56 = 0.70; S/I = 1.34/1.8 = 0.74. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.99 mm, I=4.62 mm, S=2.42 mm.	I/L = 4.62/5.99 = 0.77; S/I = 2.42/4.62 = 0.52. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.79 mm, I=2.73 mm, S=1.98 mm.	I/L = 2.73/3.79 = 0.72; S/I = 1.98/2.73 = 0.73. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.81 mm, I=2.89 mm, S=1.77 mm.	I/L = 2.89/3.81 = 0.76; S/I = 1.77/2.89 = 0.61. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.11 mm, I=1.78 mm, S=1.31 mm.	I/L = 1.78/2.11 = 0.84; S/I = 1.31/1.78 = 0.74. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=2.32 mm, I=2.02 mm, S=0.95 mm.	I/L = 2.02/2.32 = 0.87; S/I = 0.95/2.02 = 0.47. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=4.77 mm, I=4.04 mm, S=3.46 mm.	I/L = 4.04/4.77 = 0.85; S/I = 3.46/4.04 = 0.86. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.05 mm, I=2.54 mm, S=2.19 mm.	I/L = 2.54/3.05 = 0.83; S/I = 2.19/2.54 = 0.86. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=5.91 mm, I=4.57 mm, S=2.14 mm.	I/L = 4.57/5.91 = 0.77; S/I = 2.14/4.57 = 0.47. Interpretar no gráfico de Zingg para classificar a forma.
Calcule I/L e S/I para L=3.61 mm, I=2.91 mm, S=2.57 mm.	I/L = 2.91/3.61 = 0.81; S/I = 2.57/2.91 = 0.88. Interpretar no gráfico de Zingg para classificar a forma.
Calcule S/L e (L-I)/(L-S) para L=6.35 mm, I=4.61 mm, S=2.95 mm.	S/L = 2.95/6.35 = 0.46; (L-I)/(L-S) = 0.51. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.18 mm, I=3.51 mm, S=2.02 mm.	S/L = 2.02/4.18 = 0.48; (L-I)/(L-S) = 0.31. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.2 mm, I=3.18 mm, S=1.93 mm.	S/L = 1.93/5.2 = 0.37; (L-I)/(L-S) = 0.62. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.84 mm, I=4.69 mm, S=3.43 mm.	S/L = 3.43/6.84 = 0.50; (L-I)/(L-S) = 0.63. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.18 mm, I=4.61 mm, S=3.77 mm.	S/L = 3.77/5.18 = 0.73; (L-I)/(L-S) = 0.4. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.27 mm, I=4.4 mm, S=2.31 mm.	S/L = 2.31/6.27 = 0.37; (L-I)/(L-S) = 0.47. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.54 mm, I=4.73 mm, S=3.93 mm.	S/L = 3.93/5.54 = 0.71; (L-I)/(L-S) = 0.5. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=1.99 mm, I=1.15 mm, S=0.8 mm.	S/L = 0.8/1.99 = 0.40; (L-I)/(L-S) = 0.71. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.59 mm, I=6.25 mm, S=4.75 mm.	S/L = 4.75/6.59 = 0.72; (L-I)/(L-S) = 0.18. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.06 mm, I=2.39 mm, S=1.67 mm.	S/L = 1.67/4.06 = 0.41; (L-I)/(L-S) = 0.7. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.34 mm, I=4.61 mm, S=3.37 mm.	S/L = 3.37/6.34 = 0.53; (L-I)/(L-S) = 0.58. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.5 mm, I=3.69 mm, S=2.91 mm.	S/L = 2.91/6.5 = 0.45; (L-I)/(L-S) = 0.78. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.33 mm, I=2.33 mm, S=1.0 mm.	S/L = 1.0/3.33 = 0.30; (L-I)/(L-S) = 0.43. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.56 mm, I=3.54 mm, S=2.78 mm.	S/L = 2.78/4.56 = 0.61; (L-I)/(L-S) = 0.57. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.68 mm, I=1.56 mm, S=1.29 mm.	S/L = 1.29/2.68 = 0.48; (L-I)/(L-S) = 0.81. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.02 mm, I=3.24 mm, S=2.76 mm.	S/L = 2.76/5.02 = 0.55; (L-I)/(L-S) = 0.79. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.54 mm, I=1.87 mm, S=0.92 mm.	S/L = 0.92/2.54 = 0.36; (L-I)/(L-S) = 0.41. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.13 mm, I=1.73 mm, S=1.37 mm.	S/L = 1.37/3.13 = 0.44; (L-I)/(L-S) = 0.8. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.49 mm, I=5.33 mm, S=2.33 mm.	S/L = 2.33/6.49 = 0.36; (L-I)/(L-S) = 0.28. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.1 mm, I=2.82 mm, S=1.9 mm.	S/L = 1.9/4.1 = 0.46; (L-I)/(L-S) = 0.58. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.12 mm, I=3.68 mm, S=1.79 mm.	S/L = 1.79/5.12 = 0.35; (L-I)/(L-S) = 0.43. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.2 mm, I=3.9 mm, S=2.19 mm.	S/L = 2.19/6.2 = 0.35; (L-I)/(L-S) = 0.57. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.31 mm, I=2.78 mm, S=1.85 mm.	S/L = 1.85/4.31 = 0.43; (L-I)/(L-S) = 0.62. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.79 mm, I=4.54 mm, S=2.33 mm.	S/L = 2.33/4.79 = 0.49; (L-I)/(L-S) = 0.1. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.89 mm, I=5.6 mm, S=2.81 mm.	S/L = 2.81/6.89 = 0.41; (L-I)/(L-S) = 0.32. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.74 mm, I=3.91 mm, S=2.97 mm.	S/L = 2.97/4.74 = 0.63; (L-I)/(L-S) = 0.47. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.06 mm, I=1.63 mm, S=1.02 mm.	S/L = 1.02/2.06 = 0.50; (L-I)/(L-S) = 0.41. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.5 mm, I=4.32 mm, S=3.41 mm.	S/L = 3.41/6.5 = 0.52; (L-I)/(L-S) = 0.71. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.96 mm, I=3.43 mm, S=2.4 mm.	S/L = 2.4/4.96 = 0.48; (L-I)/(L-S) = 0.6. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.03 mm, I=4.13 mm, S=3.08 mm.	S/L = 3.08/5.03 = 0.61; (L-I)/(L-S) = 0.46. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.23 mm, I=4.63 mm, S=3.22 mm.	S/L = 3.22/5.23 = 0.62; (L-I)/(L-S) = 0.3. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.5 mm, I=5.26 mm, S=2.73 mm.	S/L = 2.73/6.5 = 0.42; (L-I)/(L-S) = 0.33. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.09 mm, I=3.2 mm, S=2.41 mm.	S/L = 2.41/4.09 = 0.59; (L-I)/(L-S) = 0.53. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.27 mm, I=1.52 mm, S=1.16 mm.	S/L = 1.16/2.27 = 0.51; (L-I)/(L-S) = 0.68. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.71 mm, I=1.63 mm, S=1.05 mm.	S/L = 1.05/2.71 = 0.39; (L-I)/(L-S) = 0.65. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.85 mm, I=5.22 mm, S=4.45 mm.	S/L = 4.45/6.85 = 0.65; (L-I)/(L-S) = 0.68. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.12 mm, I=4.0 mm, S=3.21 mm.	S/L = 3.21/6.12 = 0.52; (L-I)/(L-S) = 0.73. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.31 mm, I=3.76 mm, S=2.86 mm.	S/L = 2.86/4.31 = 0.66; (L-I)/(L-S) = 0.38. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.56 mm, I=2.12 mm, S=1.86 mm.	S/L = 1.86/3.56 = 0.52; (L-I)/(L-S) = 0.85. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.53 mm, I=2.37 mm, S=1.95 mm.	S/L = 1.95/2.53 = 0.77; (L-I)/(L-S) = 0.28. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.57 mm, I=5.25 mm, S=4.63 mm.	S/L = 4.63/5.57 = 0.83; (L-I)/(L-S) = 0.34. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.98 mm, I=4.16 mm, S=3.27 mm.	S/L = 3.27/5.98 = 0.55; (L-I)/(L-S) = 0.67. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=1.87 mm, I=1.43 mm, S=0.86 mm.	S/L = 0.86/1.87 = 0.46; (L-I)/(L-S) = 0.44. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=5.3 mm, I=4.34 mm, S=2.91 mm.	S/L = 2.91/5.3 = 0.55; (L-I)/(L-S) = 0.4. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.08 mm, I=5.63 mm, S=2.31 mm.	S/L = 2.31/6.08 = 0.38; (L-I)/(L-S) = 0.12. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.02 mm, I=1.69 mm, S=1.41 mm.	S/L = 1.41/3.02 = 0.47; (L-I)/(L-S) = 0.83. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.72 mm, I=4.32 mm, S=2.04 mm.	S/L = 2.04/4.72 = 0.43; (L-I)/(L-S) = 0.15. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.13 mm, I=1.87 mm, S=1.59 mm.	S/L = 1.59/2.13 = 0.75; (L-I)/(L-S) = 0.48. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=3.37 mm, I=2.4 mm, S=1.02 mm.	S/L = 1.02/3.37 = 0.30; (L-I)/(L-S) = 0.41. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=6.72 mm, I=4.51 mm, S=2.8 mm.	S/L = 2.8/6.72 = 0.42; (L-I)/(L-S) = 0.56. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=2.31 mm, I=2.09 mm, S=0.89 mm.	S/L = 0.89/2.31 = 0.39; (L-I)/(L-S) = 0.15. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
Calcule S/L e (L-I)/(L-S) para L=4.16 mm, I=3.4 mm, S=2.58 mm.	S/L = 2.58/4.16 = 0.62; (L-I)/(L-S) = 0.48. Utilize a tabela de 10 classes de Sneed & Folk para determinar esfericidade.
